ID,TITRE,PRIX,ARR,LINK,M2,PIECES
821,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6802553234.html,30,1
822,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6802554905.html,15,1
829,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6781653141.html,27,1
833,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781441520.html,15,1
834,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781444457.html,15,1
836,LOUVRE LOVELY APARTMENT LOCATED IN PARIS,600,Rue Pierre Lescot,https://paris.craigslist.org/apa/d/louvre-lovely-apartment-located-in-paris/6788868463.html,30,1
837,Lovely Apartment In Paris,450,Passage Thiéré,https://paris.craigslist.org/apa/d/lovely-apartment-in-paris/6787382135.html,13,1
838,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781441680.html,15,1
839,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6782710165.html,27,1
904,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781441723.html,15,1
905,Studio Apartment In Rue des Jeuneurs,550,Paris,https://paris.craigslist.org/apa/d/studio-apartment-in-rue-des-jeuneurs/6781656612.html,15,1
906,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6782449098.html,27,1
907,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6782449082.html,27,1
950,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6779828612.html,27,1
951,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6779390342.html,27,1
960,A furnished studio flat to let in the Marais  for 2 - 12 months,750,Hotel de ville,https://paris.craigslist.org/apa/d/furnished-studio-flat-to-let-in-the/6800139153.html,11,1
966,Studio Luxueux Aux Buttes Chaumont,500,Rue Manin,https://paris.craigslist.org/apa/d/studio-luxueux-aux-buttes-chaumont/6779389941.html,27,1
967,White Lighty Apartment For Renting,550,Rue Lepic,https://paris.craigslist.org/apa/d/white-lighty-apartment-for-renting/6795177757.html,43,1
