ID,TITRE,PRIX,ARR,LINK,M2,PIECES
71,FURNISHED APARTMENT,1590,Paris Bastille Marais - Bd Richard Lenoir,https://paris.craigslist.org/apa/d/furnished-apartment/6818252285.html,,
72,APARTMENT ON THE 4TH FLOOR,2100,North-West Neuilly-sur-Seine-Rue Chauveau,https://paris.craigslist.org/apa/d/apartment-on-the-4th-floor/6818257121.html,,
73,FURNISHED STUDIO,1699,Paris Marais - Rue des Haudriettes,https://paris.craigslist.org/apa/d/furnished-studio/6818254159.html,,
74,HUGE APARTMENT.,2575,Paris Voltaire - Avenue Parmentier,https://paris.craigslist.org/apa/d/huge-apartment/6818259021.html,,
75,APARTMENT WITH BALCONY!,2999,North-West St Cloud - Allee Florent Schmitt,https://paris.craigslist.org/apa/d/apartment-with-balcony/6818261537.html,,
76,Stylish and modern rooftop apartment,1850,Paris Rambuteau - Rue St Martin,https://paris.craigslist.org/apa/d/stylish-and-modern-rooftop-apartment/6818255270.html,,
77,APARTMENT WELL LOCATED!,1850,North-West St Cloud - Residence Beausoleil,https://paris.craigslist.org/apa/d/apartment-well-located/6818256038.html,,
78,Studio en mezzanine 18m² à 4min du métro Villiers-Paris8,500,500€ PER MONTH,https://paris.craigslist.org/apa/d/studio-en-mezzanine-18m-4min-du-mtro/6799566604.html,18,1
79,"Studio 35m2 + Mezzanine, Rue de Lisbonne Paris8è",505,505€ PER MONTH,https://paris.craigslist.org/apa/d/studio-35m2-mezzanine-rue-de-lisbonne/6814831365.html,35,1
80,FURNISHED APARTMENT WITH BALCONY,1499,Paris Buttes Chaumont- Rue Compans,https://paris.craigslist.org/apa/d/furnished-apartment-with-balcony/6818249249.html,,
81,Studio 48m2 à 9min de l' Uni. Panthéon-Sorbonne Paris1,525,525€ PER MONTH,https://paris.craigslist.org/apa/d/studio-48m2-9min-de-uni-panthon/6815160098.html,48,1
82,RENOVATED APARTMENT/FURNISHED!,1599,Paris Censier Daubenton - Rue du Fer a Moulin,https://paris.craigslist.org/apa/d/renovated-apartment-furnished/6818253176.html,,
83,PERFECT APARTMENT WITH ELEVATOR,1550,Paris Cambronne - Villa Croix Nivert,https://paris.craigslist.org/apa/d/perfect-apartment-with-elevator/6818251133.html,,
84,APARTMENT (1 BED) 5 FLIGHTS UP!,1100,Paris Avenue la Motte Piquet - Boulevard Grenelle,https://paris.craigslist.org/apa/d/apartment-1-bed-5-flights-up/6818238369.html,,
85,"STUDIO, WITH LARGE TERRACE",800,Paris Passy - Rue Benjamin Franklin,https://paris.craigslist.org/apa/d/studio-with-large-terrace/6818236201.html,,
86,"CALM APARTMENT, SUNNY TOO!",1299,Paris Marcadet Poissonieres Rue Marcadet,https://paris.craigslist.org/apa/d/calm-apartment-sunny-too/6818239150.html,,
87,APARTMENT ON A PRIME SPOT,1399,Paris Chatelet - Rivoli,https://paris.craigslist.org/apa/d/apartment-on-prime-spot/6818241148.html,,
88,STUDIO IN A GREAT 17TH CENTURY CONVENT,1099,Paris Glaciere - Rue des Tanneries,https://paris.craigslist.org/apa/d/studio-in-great-17th-century-convent/6818237804.html,,
89,STUDIO* CLOSE TO ABBESSES,1090,Paris Abbesses - Rue Durantin,https://paris.craigslist.org/apa/d/studio-close-to-abbesses/6818237258.html,,
90,"Joli T2 45m² à 6min "" Métro George V "" Paris 8è",585,585€ PER MONTH,https://paris.craigslist.org/apa/d/joli-t2-45m-6min-mtro-george-paris-8/6799538505.html,45,1
91,This Beautiful Studio apt available in 7th arrondissement,450,7th arrondissement,https://paris.craigslist.org/apa/d/this-beautiful-studio-apt-available-in/6818218646.html,,1
92,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6818218811.html,,
93,Grand 2 pièces de 50sqm rue d'Hauteville,1800,10ème arrondissement,https://paris.craigslist.org/apa/d/grand-2-pices-de-50sqm-rue-dhauteville/6818218677.html,50,
94,2 pièces 25m² Rue de la Mare,900,20ème,https://paris.craigslist.org/apa/d/2-pices-25m-rue-de-la-mare/6818218572.html,25,
95,Furnished 2BR apartment (46sqm) rue Berzélius,1550,Paris 17th arrondissement,https://paris.craigslist.org/apa/d/furnished-2br-apartment-46sqm-rue/6818218510.html,46,
96,Apartment studio near Charles Michels in Paris,1250,15th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-charles-michels/6818218421.html,34,
97,studio  Eiffel Tower,990,LA MOTTE PICQUET GRENELLE,https://paris.craigslist.org/apa/d/studio-eiffel-tower/6818213444.html,24,
98,"Paris apartment rental on a quiet street, Villa Verlaine",1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-on-quiet-street/6818202243.html,40,
99,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6818202149.html,,
100,"Appartement 2 chambres, Rue Custine",1990,18ème arrondissement,https://paris.craigslist.org/apa/d/appartement-2-chambres-rue-custine/6818202069.html,57,
101,"4th district, Studio Rue St Louis en l' Ile",1300,4th arrondissement,https://paris.craigslist.org/apa/d/4th-district-studio-rue-st-louis-en-ile/6818201991.html,,
102,House à Place d'Italie à Paris,1650,13ème arrondissement,https://paris.craigslist.org/apa/d/house-place-ditalie-paris/6818201926.html,60,
103,Private Studio Just Perfect !!!,850,Paris,https://paris.craigslist.org/apa/d/private-studio-just-perfect/6818198951.html,51,1
104,Private Studio Just Perfect !!!,850,Paris,https://paris.craigslist.org/apa/d/private-studio-just-perfect/6818194636.html,51,1
105,Paris apartment rental near Invalides,2100,7th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-invalides/6818147657.html,58,
106,Appartement à Quartier Latin à Paris,4000,,https://paris.craigslist.org/apa/d/appartement-quartier-latin-paris/6818147593.html,95,
107,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6818147491.html,,
108,Paris apartment rental near Parmentier,950,11th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-parmentier/6818147052.html,30,
109,Paris duplex apartment rental near Bibliothèque François Mitterrand,2900,13th arrondissement,https://paris.craigslist.org/apa/d/paris-duplex-apartment-rental-near/6818145775.html,85,
110,"Beautiful Furnished 3 bedroom, 2 bathroom Apt. near Luxembourg Gds.",4750,"St. Germain de Pré, metro St. Placide",https://paris.craigslist.org/apa/d/beautiful-furnished-3-bedroom-2/6818034575.html,127,3
111,2br - Two bedroom apartment in,700,Paris,https://paris.craigslist.org/apa/d/2br-two-bedroom-apartment-in/6817808944.html,,2
112,Private Studio Just Perfect !!!,850,Paris,https://paris.craigslist.org/apa/d/private-studio-just-perfect/6817771946.html,51,1
113,Studio rue de Richelieu,900,2ème arrondissement,https://paris.craigslist.org/apa/d/studio-rue-de-richelieu/6817690265.html,18,
114,Apartment studio near Charles Michels in Paris,1250,15th arrondissement,https://paris.craigslist.org/apa/d/apartment-studio-near-charles-michels/6817689865.html,34,
115,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6817689606.html,,
116,Paris apartment rental near Saint-Germain-des-Prés,1500,6th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-saint/6817687042.html,32,
117,"Paris apartment rental on a quiet street, Villa Verlaine",1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-on-quiet-street/6817677700.html,40,
118,**Studio on Paris city ! Double Bedroom** For rent,600,paris,https://paris.craigslist.org/apa/d/studio-on-paris-city-double-bedroom-for/6797557270.html,50,1
119,APARTMENT WITH BALCONY!,2999,North-West St Cloud - Allee Florent Schmitt,https://paris.craigslist.org/apa/d/apartment-with-balcony/6817468451.html,,
120,APARTMENT FACING EAST,1850,North-West St Cloud - Residence Beausoleil,https://paris.craigslist.org/apa/d/apartment-facing-east/6817459883.html,,
121,Stylish and modern rooftop apartment,1850,Paris Rambuteau - Rue St Martin,https://paris.craigslist.org/apa/d/stylish-and-modern-rooftop-apartment/6817452248.html,,
122,FURNISHED APARTMENT!,1499,Paris Buttes Chaumont- Rue Compans,https://paris.craigslist.org/apa/d/furnished-apartment/6817446460.html,,
123,1 BEDROOM RESIDENCE ON A PRIME SPOT!,1399,Paris Chatelet - Rivoli,https://paris.craigslist.org/apa/d/1-bedroom-residence-on-prime-spot/6817444218.html,,
124,STUDIO* 5TH FLOOR!,1100,Paris Avenue la Motte Piquet - Boulevard Grenelle,https://paris.craigslist.org/apa/d/studio-5th-floor/6817441767.html,,
125,FURNISHED APARTMENT!,1599,Paris Censier Daubenton - Rue du Fer a Moulin,https://paris.craigslist.org/apa/d/furnished-apartment/6817450025.html,,
126,APARTMENT WITH ELEVATOR,1550,Paris Cambronne - Villa Croix Nivert,https://paris.craigslist.org/apa/d/apartment-with-elevator/6817447359.html,,
127,"STUDIO "" in Montmartre""",1090,Paris Abbesses - Rue Durantin,https://paris.craigslist.org/apa/d/studio-in-montmartre/6817436425.html,,
128,CENTRALLY LOCATED 2 BEDROOM,800,CITY,https://paris.craigslist.org/apa/d/centrally-located-2-bedroom/6817406357.html,,2
129,Paris apartment rental near Invalides,2100,7th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-invalides/6817412087.html,58,
130,"Appartement 2 chambres, Rue Custine",1990,18ème arrondissement,https://paris.craigslist.org/apa/d/appartement-2-chambres-rue-custine/6817411967.html,57,
131,Appartement à Champ de Mars,1450,7ème arrondissement,https://paris.craigslist.org/apa/d/appartement-champ-de-mars/6817411844.html,37,
132,Amazing studio / Amazing studio in Rue du Temple,500,4th Arrondissement,https://paris.craigslist.org/apa/d/amazing-studio-amazing-studio-in-rue-du/6817396352.html,,1
133,Newly furnished one bedroom apartment in excellent location,735,paris 15,https://paris.craigslist.org/apa/d/newly-furnished-one-bedroom-apartment/6804141709.html,18,1
134,BEAUTIFUL & CENTRALLY LOCATED BEDROOM APARTMENT,800,PARIS,https://paris.craigslist.org/apa/d/beautiful-centrally-located-bedroom/6817388332.html,,1
135,1 Bedroom apartment in a very calm street,800,"Rue de la Sablière  Paris, France",https://paris.craigslist.org/apa/d/1-bedroom-apartment-in-very-calm-street/6817374819.html,,1
136,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6817386197.html,,
137,Paris duplex apartment rental near Les Halles,990,2nd arrondissement,https://paris.craigslist.org/apa/d/paris-duplex-apartment-rental-near-les/6817386151.html,18,
138,"Studio 20 sqm, rue de la Fontaine au Roi",1065,11th arrondissement,https://paris.craigslist.org/apa/d/studio-20-sqm-rue-de-la-fontaine-au-roi/6817386070.html,20,
139,Paris apartment rental near Buttes Chaumont,1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-buttes/6817385966.html,40,
140,Studio rue de Richelieu,900,2ème arrondissement,https://paris.craigslist.org/apa/d/studio-rue-de-richelieu/6817385903.html,18,
141,Paris apartment rental near Place Monge,1282,5th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-place-monge/6817334905.html,33,
142,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6817334005.html,,
143,Paris duplex apartment rental near Trocadéro,1950,16th arrondissement,https://paris.craigslist.org/apa/d/paris-duplex-apartment-rental-near/6817333663.html,67,
144,Beautiful studio available March 1st 15eme. Near all amenities!,795,,https://paris.craigslist.org/apa/d/beautiful-studio-available-march-1st/6817292282.html,20,
145,Studio like a hostel room + private bathroom & kitchenette,610,Mairie de Montreuil,https://paris.craigslist.org/apa/d/studio-like-hostel-room-private/6817053994.html,11,1
146,500 euro MONTHLY rent furnished studio close Paris 19 matro line 5,500,parc de la vilette,https://paris.craigslist.org/apa/d/500-euro-monthly-rent-furnished-studio/6816840857.html,20,1
147,Paris apartment rental near Michel-Ange Molitor,1700,16th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-michel-ange/6816815289.html,47,
148,Paris apartment rental near Parmentier,950,11th arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-parmentier/6816804704.html,30,
149,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6816800118.html,,
150,Paris apartment rental near Marais,2500,3rd arrondissement,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-marais/6816799428.html,100,
151,Paris apartment rental near Saint Ambroise,1270,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-saint/6816795357.html,27,
152,Second and top floor Apartment.,3399,Paris Jaques Bonsergent - Canal Saint Martin,https://paris.craigslist.org/apa/d/second-and-top-floor-apartment/6816646934.html,,
153,Large one bedroom 70m2 apartment,2575,Paris Voltaire - Avenue Parmentier- One Bedroom,https://paris.craigslist.org/apa/d/large-one-bedroom-70m2-apartment/6816638743.html,,
154,apartment with balcony and view over Paris.,2999,North-West St Cloud - Allee Florent Schmitt,https://paris.craigslist.org/apa/d/apartment-with-balcony-and-view-over/6816643770.html,,
155,2 beds apartment  apartment in a very convenient location,1850,North-West St Cloud - Residence Beausoleil,https://paris.craigslist.org/apa/d/2-beds-apartment-apartment-in-very/6816634011.html,,
156,Renovated Apartment!,1599,Paris Censier Daubenton - Rue du Fer a Moulin,https://paris.craigslist.org/apa/d/renovated-apartment/6816630982.html,,
157,Furnished 50m2 apartment with balcony,1499,Paris Buttes Chaumont- Rue Compans,https://paris.craigslist.org/apa/d/furnished-50m2-apartment-with-balcony/6816622568.html,,
158,One bedroom apartment adjacent to Metro Cambronne,1550,Paris Cambronne - Villa Croix Nivert,https://paris.craigslist.org/apa/d/one-bedroom-apartment-adjacent-to-metro/6816624787.html,,
159,Apartment on a Prime Spot!,1399,Paris Chatelet - Rivoli -,https://paris.craigslist.org/apa/d/apartment-on-prime-spot/6816618639.html,,
160,A 24 sqm studio in Montmartre (1 bed),1090,Paris Abbesses - Rue Durantin,https://paris.craigslist.org/apa/d/24-sqm-studio-in-montmartre-1-bed/6816611355.html,,
161,Perfect Studio with Terrace!,800,Paris Passy - Rue Benjamin Franklin,https://paris.craigslist.org/apa/d/perfect-studio-with-terrace/6816607113.html,,
162,Studio is on the 2nd floor no elevator,1099,Paris Glaciere - Rue des Tanneries,https://paris.craigslist.org/apa/d/studio-is-on-the-2nd-floor-no-elevator/6816612138.html,,
163,Paris 8- Miromesnil 2 bedroom furnished apt 75m2,2600,rue Miromesnil,https://paris.craigslist.org/apa/d/paris-8-miromesnil-2-bedroom-furnished/6816588112.html,75,2
164,Studio à Strasbourg Saint Denis à Paris,850,10ème arrondissement,https://paris.craigslist.org/apa/d/studio-strasbourg-saint-denis-paris/6816572474.html,16,
165,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6816572240.html,,
166,Paris apartment rental near Dupleix,3495,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-dupleix/6816572156.html,107,
167,Paris apartment rental near Martyrs,1800,,https://paris.craigslist.org/apa/d/paris-apartment-rental-near-martyrs/6816572080.html,63,
168,Paris apartment rental near Notre Dame,1242,"Rue Monge, 5th arrondissement",https://paris.craigslist.org/apa/d/paris-apartment-rental-near-notre-dame/6816571968.html,33,
169,Your flat in Paris for a long term stay,,Paris,https://paris.craigslist.org/apa/d/your-flat-in-paris-for-long-term-stay/6816558778.html,,
170,Furnished 2BR apartment (46sqm) rue Berzélius,1550,Paris 17th arrondissement,https://paris.craigslist.org/apa/d/furnished-2br-apartment-46sqm-rue/6816558726.html,46,
171,Appartement à Quartier Latin à Paris,4000,,https://paris.craigslist.org/apa/d/appartement-quartier-latin-paris/6816558623.html,95,
172,"Paris apartment rental on a quiet street, Villa Verlaine",1350,,https://paris.craigslist.org/apa/d/paris-apartment-rental-on-quiet-street/6816558553.html,40,
173,"4th district, Studio Rue St Louis en l' Ile",1300,4th arrondissement,https://paris.craigslist.org/apa/d/4th-district-studio-rue-st-louis-en-ile/6816558511.html,,
174,BEAUTIFUL & CENTRALLY LOCATED BEDROOM APARTMENT,800,PARIS,https://paris.craigslist.org/apa/d/beautiful-centrally-located-bedroom/6816555965.html,,1
175,"Spacious 2 bedroom, ideal for sharing",1740,"11th arrondissement, Bd. Voltaire",https://paris.craigslist.org/apa/d/spacious-2-bedroom-ideal-for-sharing/6816555741.html,64,2
176,Appartement à La Villette à Paris,1127,19ème arrondissement,https://paris.craigslist.org/apa/d/appartement-la-villette-paris/6816536636.html,35,
177,Charming studio near Boulainvilliers,950,16th arrondissement,https://paris.craigslist.org/apa/d/charming-studio-near-boulainvilliers/6816535898.html,15,
